time,spoofed,confidence
111402.0,0,1.0970018e-07
111403.0,0,9.900894e-08
111404.0,0,3.0437883e-07
111405.0,0,6.085633e-08
111406.0,0,2.0010846e-07
111407.0,0,3.9341597e-08
111408.0,0,5.1683966e-08
111409.0,0,4.2587283e-07
111410.0,0,2.2843803e-07
111411.0,0,2.7227964e-07
111412.0,0,1.7195552e-07
111413.0,0,5.3426394e-08
111414.0,0,4.8546763e-08
111415.0,0,3.765619e-08
111416.0,0,6.692205e-08
111417.0,0,7.2209296e-08
111418.0,0,9.4512295e-08
111419.0,0,1.4403243e-07
111420.0,0,5.0893897e-07
111421.0,0,3.947291e-07
111422.0,0,1.9853108e-08
111423.0,0,7.7152976e-08
111424.0,0,1.2023851e-07
111425.0,0,1.4155283e-07
111426.0,0,1.8730309e-07
111427.0,0,7.375551e-08
111428.0,0,1.1320555e-07
111429.0,0,3.5308662e-07
111430.0,0,3.497033e-07
111431.0,0,2.53627e-07
111432.0,0,7.6048e-08
111433.0,0,1.5919554e-07
111434.0,0,6.158755e-08
111435.0,0,1.4363778e-07
111436.0,0,4.5502322e-08
111437.0,0,4.9483117e-07
111438.0,0,5.8183485e-08
111439.0,0,1.9410203e-07
111440.0,0,1.1006844e-07
111441.0,0,1.4441989e-07
111442.0,0,4.999083e-08
111443.0,0,7.471635e-08
111444.0,0,9.4095185e-08
111445.0,0,7.779873e-08
111446.0,0,8.5031166e-07
111447.0,0,1.6746435e-07
111448.0,0,1.1113524e-07
111449.0,0,3.4115706e-07
111450.0,0,1.2126584e-07
111451.0,0,1.7484861e-07
111452.0,0,1.0476394e-07
111453.0,0,1.0297147e-07
111454.0,0,3.3626822e-07
111455.0,0,2.7315272e-07
111456.0,0,1.3413832e-07
111457.0,0,6.7704065e-08
111458.0,0,1.1867326e-07
111459.0,0,7.812796e-08
111460.0,0,5.3901125e-08
111461.0,0,3.23452e-07
111462.0,0,1.102811e-07
111463.0,0,6.6805875e-08
111464.0,0,8.988083e-08
111465.0,0,5.824166e-08
111466.0,0,3.0437846e-08
111467.0,0,9.783679e-08
111468.0,0,2.0394532e-07
111469.0,0,4.0722263e-08
111470.0,0,8.5547924e-08
111471.0,0,7.222183e-08
111472.0,0,6.9149586e-08
111473.0,0,9.5906586e-08
111474.0,0,5.9476423e-07
111475.0,0,2.1700636e-07
111476.0,0,1.9337443e-07
111477.0,0,2.0942208e-07
111478.0,0,6.0484814e-07
111479.0,0,3.243076e-07
111480.0,0,1.118664e-07
111481.0,0,5.6015708e-08
111482.0,0,7.383221e-08
111483.0,0,7.3041384e-08
111484.0,0,1.0398119e-07
111485.0,0,2.2275461e-07
111486.0,0,1.306062e-07
111487.0,0,1.2927444e-07
111488.0,0,1.3803042e-07
111489.0,0,1.2858305e-07
111490.0,0,1.4827934e-07
111491.0,0,8.692561e-08
111492.0,0,1.5380178e-07
111493.0,0,2.8141474e-07
111494.0,0,1.8414299e-07
111495.0,0,1.7394765e-07
111496.0,0,1.4662201e-07
111497.0,0,1.1935357e-07
111498.0,0,2.555234e-07
111499.0,0,5.858773e-07
111500.0,0,5.8772294e-08
111501.0,0,9.0109985e-08
111502.0,0,1.4759522e-07
111503.0,0,4.8625353e-08
111504.0,0,4.792237e-07
111505.0,0,5.1171163e-08
111506.0,0,1.3328828e-07
111507.0,0,1.06678534e-07
111508.0,0,1.4826195e-07
111509.0,0,3.4876675e-07
111510.0,0,1.5479903e-07
111511.0,0,7.829429e-08
111512.0,0,1.207188e-07
111513.0,0,5.3502887e-08
111514.0,0,3.710277e-07
111515.0,0,1.2252444e-07
111516.0,0,1.5155425e-07
111517.0,0,1.14877786e-07
111518.0,0,7.196181e-08
111519.0,0,2.3043965e-07
111520.0,0,6.887802e-08
111521.0,0,1.0187008e-07
111522.0,0,2.719534e-07
111523.0,0,2.6894378e-07
111524.0,0,1.2307697e-07
111525.0,0,1.1743617e-07
111526.0,0,6.953114e-08
111527.0,0,1.2746567e-07
111528.0,0,1.2362564e-07
111529.0,0,1.4593316e-07
111530.0,0,6.817757e-08
111531.0,0,1.2722884e-07
111532.0,0,4.1482653e-07
111533.0,0,3.3989952e-08
111534.0,0,1.1545507e-07
111535.0,0,1.1883588e-07
111536.0,0,1.0216721e-07
111537.0,0,1.7943084e-07
111538.0,0,6.21022e-08
111539.0,0,1.3104675e-07
111540.0,0,1.3953168e-07
111541.0,0,1.8792231e-07
111542.0,0,1.0072993e-07
111543.0,0,1.2228584e-07
111544.0,0,2.28367e-07
111545.0,0,1.7577852e-07
111546.0,0,4.35613e-08
111547.0,0,1.0768146e-07
111548.0,0,9.668184e-08
111549.0,0,4.6251122e-07
111550.0,0,5.7241248e-08
111551.0,0,2.045798e-07
111552.0,0,3.4692997e-07
111553.0,0,3.355003e-08
111554.0,0,1.5154356e-07
111555.0,0,5.0019437e-08
111556.0,0,2.2449655e-07
111557.0,0,6.333394e-08
111558.0,0,1.6786619e-07
111559.0,0,2.474363e-07
111560.0,0,2.2779557e-07
111561.0,0,3.2811503e-08
111562.0,0,8.319248e-08
111563.0,0,1.603103e-07
111564.0,0,7.885029e-08
111565.0,0,5.648465e-08
111566.0,0,1.3963297e-07
111567.0,0,1.4061838e-07
111568.0,0,1.8146784e-07
111569.0,0,3.475263e-07
111570.0,0,4.140368e-07
111571.0,0,4.3168416e-08
111572.0,0,1.583804e-07
111573.0,0,1.1074251e-07
111574.0,0,1.1091563e-07
111575.0,0,4.998359e-07
111576.0,0,1.00687096e-07
111577.0,0,6.694478e-08
111578.0,0,2.3065952e-07
111579.0,0,5.4160303e-08
111580.0,0,9.620797e-08
111581.0,0,3.6761996e-08
111582.0,0,6.112529e-08
111583.0,0,4.2266552e-07
111584.0,0,6.8893e-08
111585.0,0,5.4363156e-08
111586.0,0,1.1044003e-07
111587.0,0,3.265365e-07
111588.0,0,2.0415686e-07
111589.0,0,1.7457901e-07
111590.0,0,6.7382764e-08
111591.0,0,1.5197935e-07
111592.0,0,7.380616e-08
111593.0,0,9.0768765e-08
111594.0,0,1.6877617e-07
111595.0,0,5.2070057e-08
111596.0,0,8.869554e-08
111597.0,0,9.1074675e-08
111598.0,0,4.064955e-07
111599.0,0,3.7510816e-07
111600.0,0,6.5225834e-08
111601.0,0,8.235259e-08
111602.0,0,2.7982528e-08
111603.0,0,6.599381e-08
111604.0,0,7.323655e-08
111605.0,0,1.0462217e-07
111606.0,0,1.496277e-07
111607.0,0,1.1879645e-07
111608.0,0,4.976583e-08
111609.0,0,3.3501667e-07
111610.0,0,9.36649e-08
111611.0,0,1.2742119e-07
111612.0,0,2.0348277e-07
111613.0,0,9.719769e-08
111614.0,0,9.792155e-08
111615.0,0,2.2949025e-07
111616.0,0,1.6616653e-07
111617.0,0,2.204891e-07
111618.0,0,1.2484871e-07
111619.0,0,7.482159e-08
111620.0,0,5.984295e-08
111621.0,0,5.84969e-07
111622.0,0,9.273802e-08
111623.0,0,5.031329e-08
